group,n_after_binning,signal,noise,snr,noise_signal_ratio,snr_reason,removed_source,source_reason,n_removed_points,n_final,outlier_fraction,max_abs_local_z
"source_id=2126077874598020352, lensComponentSourceId=2126077874598020423",56,80.03975677490234,8.946861267089844,8.946126958436338,0.11178021557775729,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,56,0.0,3.844887211771446
"source_id=2143756097424677504, lensComponentSourceId=2143756097424677569",49,18.20529785156259,16.173303604125977,1.1256387870514117,0.8883844546788228,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,49,0.0,2.863877297950794
"source_id=2143756097424677504, lensComponentSourceId=2143756097424677571",44,21.978562545776384,6.050291538238525,3.632645205089604,0.2752814942122413,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,1,43,0.022727272727272728,4.404236509216178
"source_id=2147590992118122112, lensComponentSourceId=2147590992118122177",50,9.556663513183594,9.782023429870605,0.9769618302079662,1.023581443081691,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,2,48,0.04,4.752229938578975
"source_id=2147590992118122112, lensComponentSourceId=2147590992118122179",43,33.38784942626954,6.5414814949035645,5.104019548519987,0.19592401449362984,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,43,0.0,3.36297791413871
"source_id=2289637513490717824, lensComponentSourceId=2289637513490717889",43,5.848249435424805,6.121284484863281,0.9553957915019898,1.0466866286148144,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,43,0.0,2.853773390491561
"source_id=2289637513490717824, lensComponentSourceId=2289637513490717891",33,42.725177001953135,5.942217588424683,7.190106448673455,0.13907999932108042,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,33,0.0,3.997086909023485
"source_id=2293705259836999296, lensComponentSourceId=2293705259836999361",40,8.169369029998776,5.684240221977234,1.437196302579398,0.6957991738534653,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,4,36,0.1,7.464261267812956
"source_id=2293705259836999296, lensComponentSourceId=2293705259836999363",35,20.190061950683578,6.015608549118042,3.356279216945337,0.2979489891517827,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,35,0.0,3.3953228945570033
"source_id=2313973730197718656, lensComponentSourceId=2313973730197718721",36,25.03608374574901,8.083431160449981,3.0972099902630115,0.3228712302826717,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,2,34,0.05555555555555555,5.85988706033301
"source_id=2313973730197718656, lensComponentSourceId=2313973730197718723",37,17.73092834472655,7.593535900115967,2.3350028995656382,0.4282649928126522,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,1,36,0.02702702702702703,5.0434674669300295
"source_id=2313973730197718656, lensComponentSourceId=2313973730197718725",35,16.91433769744563,7.234476089477539,2.3380183289357106,0.42771264349121246,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,2,33,0.05714285714285714,7.085678294416424
"source_id=2313973730197718656, lensComponentSourceId=2313973730197718727",23,38.61302437027902,8.199936866760254,4.708941665978314,0.21236194264730682,ok,True,less_than_20_points_after_cleaning,4,0,0.17391304347826086,6.15193891677625
"source_id=2313973730197718656, lensComponentSourceId=2313973730197718729",25,37.567910172868096,6.28115701675415,5.9810493628260994,0.16719474114614077,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,25,0.0,2.8627845892344106
"source_id=2321356023065144320, lensComponentSourceId=2321356023065144385",34,9.948278532605627,5.314813494682312,1.8718020006834268,0.5342445406270978,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,2,32,0.058823529411764705,4.618770107006734
"source_id=2321356023065144320, lensComponentSourceId=2321356023065144387",31,10.550617218017578,5.748121500015259,1.8354895974257974,0.544813765985087,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,3,28,0.0967741935483871,8.69073896567133
